deputado_id,deputado_nome,deputado_partido,deputado_uf,total_gasto
220582,Daniel Barbosa,PP,AL,1648540.70
220628,Mauricio do Vôlei,PL,MG,1648478.33
160527,Aguinaldo Ribeiro,PP,PB,1647066.13
141456,Jilmar Tatto,PT,SP,1644573.39
215043,Josivaldo JP,UNIÃO,MA,1644476.99
220648,Marangoni,PODE,SP,1643981.93
204398,Felipe Francischini,PODE,PR,1642757.58
160592,Zeca Dirceu,PT,PR,1642717.53
160556,Padre João,PT,MG,1642282.12
220631,Samuel Viana,UNIÃO,MG,1641354.56
220606,Reimont,PT,RJ,1639620.87
221328,Adilson Barroso,PL,SP,1638004.07
204508,Igor Timo,UNIÃO,MG,1637053.03
220667,Pedro Campos,PSB,PE,1635566.00
121948,Adriano do Baldy,PP,GO,1634311.57
204506,Marcos Pereira,REPUBLICANOS,SP,1634292.86
220670,Iza Arruda,MDB,PE,1633391.01
179000,Marcelo Álvaro Antônio,PL,MG,1633361.08
220651,Simone Marquetto,PP,SP,1632781.92
74171,Chico Alencar,PSOL,RJ,1632005.37
204511,David Soares,PODE,SP,1631899.81
220594,Coronel Assis,PL,MT,1630487.76
204355,Da Vitoria,PP,ES,1629568.63
160632,Zé Silva,UNIÃO,MG,1629411.21
220528,Dr. Victor Linhalis,PSB,ES,1628806.93
204391,José Nelto,UNIÃO,GO,1628308.78
178970,João Daniel,PT,SE,1628176.42
178931,Luciano Ducci,PSB,PR,1626220.33
74550,João Leão,PP,BA,1623888.06
178987,Orlando Silva,PCdoB,SP,1621111.19
220704,Carol Dartora,PT,PR,1621033.75
160666,Félix Mendonça Júnior,PDT,BA,1619477.98
220682,Tadeu Veneri,PT,PR,1618983.86
220554,Alexandre Lindenmeyer,PT,RS,1618828.23
204390,Professor Alcides,PSDB,GO,1618694.77
179001,Márcio Biolchi,MDB,RS,1618541.02
220572,Marussa Boldrin,REPUBLICANOS,GO,1616861.22
205476,Charles Fernandes,PSD,BA,1615447.62
74084,Raimundo Santos,PSD,PA,1614327.96
220550,Mauricio Marcon,PL,RS,1613138.02
220625,Delegada Ione,PL,MG,1612197.81
74273,Jefferson Campos,PL,SP,1611718.67
220694,Ricardo Maia,MDB,BA,1609106.74
204540,Maria Rosas,REPUBLICANOS,SP,1606768.74
204492,Paulo Guedes,PT,MG,1605841.93
221148,Alfredinho,PT,SP,1605432.90
204517,Zé Vitor,PL,MG,1604456.09
160629,Romero Rodrigues,PODE,PB,1603679.41
220632,Ana Pimentel,PT,MG,1603440.33
204395,Pedro Lupion,REPUBLICANOS,PR,1602954.81
204455,Luiz Lima,NOVO,RJ,1599634.21
204411,Filipe Barros,PL,PR,1598492.29
74262,Carlos Sampaio,PSD,SP,1596174.04
220560,Thiago de Joaldo,REPUBLICANOS,SE,1594888.68
74253,Julio Lopes,PP,RJ,1590957.29
220595,Coronel Fernanda,PL,MT,1590508.76
107970,Ana Paula Leão,PP,MG,1589612.57
220617,Murillo Gouvea,PSDB,RJ,1584021.48
220649,Delegado da Cunha,UNIÃO,SP,1582404.49
74856,Laura Carneiro,PSD,RJ,1581387.16
220647,Mauricio Neves,PP,SP,1580915.51
220570,Dr. Ismael Alexandrino,PSD,GO,1580749.02
220652,Delegado Palumbo,PODE,SP,1578094.77
74585,Lincoln Portela,PL,MG,1577888.38
198783,Emanuel Pinheiro Neto,PSD,MT,1577872.85
98057,Lafayette de Andrada,PL,MG,1576679.26
206018,Célia Xakriabá,PSOL,MG,1574097.81
204566,Marreca Filho,PRD,MA,1573773.16
74537,Claudio Cajado,PP,BA,1572023.61
74160,Patrus Ananias,PT,MG,1571860.85
220700,Florentino Neto,PT,PI,1571827.75
204574,Junior Lourenço,MDB,MA,1568266.12
160518,Weliton Prado,PSD,MG,1565495.53
160535,Marcon,PT,RS,1565403.53
166402,Magda Mofatto,PL,GO,1564609.16
160588,Diego Andrade,PSD,MG,1562881.33
220659,Dayany Bittencourt,UNIÃO,CE,1562341.51
224333,Welter,PT,PR,1561440.06
204364,Eli Borges,REPUBLICANOS,TO,1558690.09
204550,Júnior Mano,PSB,CE,1556996.17
178947,Sóstenes Cavalcante,PL,RJ,1555183.19
204491,Gilberto Abramo,REPUBLICANOS,MG,1552099.55
205865,Reinhold Stephanes,PL,PR,1549519.85
141391,Arnaldo Jardim,CIDADANIA,SP,1549094.68
204525,Rosana Valle,PL,SP,1547402.90
141531,Rodrigo de Castro,UNIÃO,MG,1545191.11
161550,Emidinho Madeira,PL,MG,1544823.83
74574,Paulo Magalhães,PSD,BA,1543924.48
204407,Fernanda Melchionna,PSOL,RS,1543072.65
178910,Joaquim Passarinho,PL,PA,1543036.65
205550,Jorge Braz,REPUBLICANOS,RJ,1542123.43
220527,Jack Rocha,PT,ES,1541767.45
178989,Renata Abreu,PODE,SP,1541650.78
178881,Aluisio Mendes,REPUBLICANOS,MA,1540776.56
204441,Otoni de Paula,PSD,RJ,1540256.56
222429,Luis Carlos Gomes,REPUBLICANOS,RJ,1527930.69
171617,Paulão,PT,AL,1527651.77
220683,Beto Richa,PSDB,PR,1526369.12
220635,Bruno Ganem,PODE,SP,1523231.48
74141,Josias Gomes,PT,BA,1520997.78
160604,Pedro Uczai,PT,SC,1519021.95
220641,Rodrigo Gambale,PODE,SP,1517956.33
160599,Dimas Fabiano,PP,MG,1516073.17
204412,Dr. Zacharias Calil,MDB,GO,1515486.37
157130,Túlio Gadêlha,PSD,PE,1514821.31
220674,Dra. Alessandra Haber,PODE,PA,1514222.50
220611,General Pazuello,PL,RJ,1510186.33
73433,Arlindo Chinaglia,PT,SP,1509349.01
122158,Pedro Paulo,PSD,RJ,1509043.05
220655,Mario Frias,PL,SP,1505630.01
204560,Adolfo Viana,PSDB,BA,1503397.61
204563,Josimar Maranhãozinho,PL,MA,1503115.53
220706,Padovani,PP,PR,1502421.08
98148,Cobalchini,MDB,SC,1497898.44
204394,Gervásio Maia,PCdoB,PB,1497766.60
220654,Delegado Paulo Bilynskyj,PL,SP,1497292.03
220622,Nely Aquino,PODE,MG,1495112.82
220702,Geraldo Mendes,UNIÃO,PR,1492015.45
220613,Roberto Monteiro Pai,PL,RJ,1490058.48
165470,Rodrigo Valadares,PL,SE,1489962.83
204559,Zé Neto,PT,BA,1489945.42
178876,Célio Silveira,MDB,GO,1487383.29
220580,Professora Goreth,PDT,AP,1486660.32
171786,Miguel Ângelo,PT,MG,1486002.71
220707,Amanda Gentil,PP,MA,1485520.97
220600,Lebrão,UNIÃO,RO,1484839.30
220691,Diego Coronel,REPUBLICANOS,BA,1483120.38
204570,Pastor Gil,PL,MA,1482042.89
178854,Elmar Nascimento,UNIÃO,BA,1481989.14
98615,Ismael,PL,SC,1481273.41
220618,Sargento Portugal,PODE,RJ,1478850.32
220564,Yandra Moura,UNIÃO,SE,1478153.17
204460,Carlos Jordy,PL,RJ,1477426.55
141555,Vinicius Carvalho,PL,SP,1476985.59
220567,Jeferson Rodrigues,PSDB,GO,1476683.09
160558,Paulo Freire Costa,PL,SP,1476586.03
220575,Sonize Barbosa,PL,AP,1476152.56
141487,Luiz Fernando Faria,UNIÃO,MG,1475124.27
74646,Aécio Neves,PSDB,MG,1473575.42
220579,Silvia Waiãpi,PL,AP,1472791.83
220566,Lêda Borges,REPUBLICANOS,GO,1472558.79
74554,José Rocha,UNIÃO,BA,1471556.62
204419,Glaustin da Fokus,PODE,GO,1469210.33
141431,Fernando Coelho Filho,UNIÃO,PE,1468921.48
72442,Felipe Carreras,PSB,PE,1465526.44
204535,Sâmia Bomfim,PSOL,SP,1459314.98
220563,Icaro de Valmir,REPUBLICANOS,SE,1458684.33
73579,Alberto Fraga,PL,DF,1458180.07
160512,Aureo Ribeiro,SOLIDARIEDADE,RJ,1457487.64
220689,Detinha,PL,MA,1456289.93
141516,Paulo Abi-Ackel,PSDB,MG,1452027.00
178943,Marcos Soares,PSDB,RJ,1451530.27
160598,Flávia Morais,MDB,GO,1451480.11
220598,Tarcísio Motta,PSOL,RJ,1449997.87
220687,Márcio Honaiser,SOLIDARIEDADE,MA,1447650.35
220576,Alfredo Gaspar,PL,AL,1446135.88
74158,Mário Heringer,PDT,MG,1441306.68
223128,Rodrigo Estacho,PSD,PR,1439474.62
160575,Erika Kokay,PT,DF,1437256.44
73701,Benedita da Silva,PT,RJ,1434645.07
74161,Reginaldo Lopes,PT,MG,1431989.71
74784,Luiza Erundina,PSOL,SP,1430364.68
204524,Pinheirinho,PP,MG,1430002.79
204515,André Janones,REDE,MG,1426181.06
204456,Gutemberg Reis,MDB,RJ,1425504.70
220629,Dandara,PT,MG,1423417.89
220585,Mersinho Lucena,PSD,PB,1421168.75
204404,Lucas Redecker,PSD,RS,1421055.82
220577,Augusto Puppio,MDB,AP,1419682.95
74283,Vicentinho,PT,SP,1417420.09
141458,João Carlos Bacelar,PL,BA,1416507.82
